Men,Women,Total,Tendency
0,3,3,NA
0,4,4,NA
1,0,1,NA
0,1,1,NA
2,1,3,NA
1,1,2,NA
0,2,2,NA
0,1,1,NA
9,3,12,NA
5,26,31,women
1,6,7,NA
3,6,9,NA
26,73,99,women
2,0,2,NA
1,1,2,NA
1,0,1,NA
0,1,1,NA
0,3,3,NA
83,143,226,women
2,10,12,NA
47,98,145,women
0,1,1,NA
0,3,3,NA
2,2,4,NA
0,1,1,NA
0,2,2,NA
0,1,1,NA
1,3,4,NA
1,0,1,NA
1,6,7,NA
6,3,9,NA
0,1,1,NA
540,1220,1760,women
47,84,131,women
0,2,2,NA
1,2,3,NA
1,2,3,NA
2,6,8,NA
6,16,22,NA
0,1,1,NA
0,3,3,NA
1,3,4,NA
7,12,19,NA
0,4,4,NA
4,12,16,NA
3,27,30,women
3,7,10,NA
2,5,7,NA
15,26,41,women
0,1,1,NA
1,11,12,NA
0,4,4,NA
14,8,22,NA
1,3,4,NA
5,7,12,NA
0,1,1,NA
0,1,1,NA
11,1,12,NA
0,1,1,NA
0,2,2,NA
0,24,24,NA
323,1156,1479,women
0,2,2,NA
0,4,4,NA
0,1,1,NA
0,2,2,NA
0,1,1,NA
1,1,2,NA
4,5,9,NA
0,2,2,NA
1,4,5,NA
0,1,1,NA
0,3,3,NA
0,1,1,NA
0,56,56,women
0,1,1,NA
2,5,7,NA
0,1,1,NA
6,17,23,NA
5,6,11,NA
0,1,1,NA
23,24,47,NA
8,7,15,NA
5,6,11,NA
0,4,4,NA
41,102,143,women
0,4,4,NA
1,1,2,NA
273,1179,1452,women
0,65,65,women
30,81,111,women
38,111,149,women
0,87,87,women
0,35,35,women
0,3,3,NA
1,4,5,NA
9,34,43,women
46,106,152,women
32,65,97,women
0,5,5,NA
42,3213,3255,women
0,9,9,NA
431,169,600,men
0,6,6,NA
0,29,29,NA
132,126,258,NA
1,5,6,NA
103,8,111,men
0,1436,1436,women
0,2190,2190,women
0,8,8,NA
1,0,1,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
2,1,3,NA
0,1,1,NA
1,0,1,NA
0,2,2,NA
0,2,2,NA
10,1,11,NA
0,1,1,NA
0,1,1,NA
753,670,1423,NA
453,618,1071,women
0,1,1,NA
189,694,883,women
1,2,3,NA
389,1680,2069,women
1292,4255,5547,women
68,87,155,women
54,62,116,NA
64,66,130,NA
5,10,15,NA
7,9,16,NA
10,17,27,NA
0,1,1,NA
0,7,7,NA
12,55,67,women
2,0,2,NA
10,4,14,NA
3,2,5,NA
1327,1425,2752,NA
884,1472,2356,women
11,22,33,women
2,3,5,NA
4,14,18,NA
12,15,27,NA
1,0,1,NA
20,41,61,women
1,2,3,NA
3,15,18,NA
61,12,73,men
56,132,188,women
0,1,1,NA
55,83,138,women
4,4,8,NA
53,63,116,NA
3,14,17,NA
49,73,122,women
14,46,60,women
77,61,138,men
0,1,1,NA
0,3,3,NA
4,8,12,NA
30,70,100,women
4,0,4,NA
6,9,15,NA
1,13,14,NA
2,5,7,NA
2,1,3,NA
0,1,1,NA
0,3,3,NA
17,37,54,women
0,3,3,NA
27,26,53,NA
2,10,12,NA
0,1,1,NA
1,2,3,NA
0,1,1,NA
2,6,8,NA
3,4,7,NA
0,2,2,NA
25,1,26,NA
17,5,22,NA
2,4,6,NA
0,3,3,NA
16,30,46,women
7,0,7,NA
1,3,4,NA
3,0,3,NA
15,25,40,women
30,39,69,women
1,116,117,women
54,67,121,women
21,34,55,women
0,3,3,NA
16,34,50,women
7,2,9,NA
6,5,11,NA
6,14,20,NA
56,14,70,men
139,206,345,women
3,9,12,NA
3,4,7,NA
0,1,1,NA
60,72,132,NA
12,45,57,women
424,417,841,NA
47,131,178,women
11,9,20,NA
4,1,5,NA
16,22,38,women
1,1,2,NA
0,2,2,NA
0,1,1,NA
6,9,15,NA
88,86,174,NA
3,10,13,NA
10,9,19,NA
59,78,137,women
44,63,107,women
3,9,12,NA
19,27,46,women
9,26,35,women
38,74,112,women
30,19,49,men
1,0,1,NA
164,244,408,women
22,13,35,men
2,6,8,NA
42,80,122,women
0,4,4,NA
4,3,7,NA
14,8,22,NA
12,6,18,NA
22,21,43,NA
10,13,23,NA
1,0,1,NA
41,37,78,NA
19,25,44,women
1,3,4,NA
10,20,30,women
7,3,10,NA
3,4,7,NA
1,4,5,NA
2,1,3,NA
0,6,6,NA
2,2,4,NA
12,16,28,NA
0,1,1,NA
0,1,1,NA
1,2,3,NA
1,1,2,NA
0,1,1,NA
3,2,5,NA
1,4,5,NA
1,2,3,NA
6,18,24,NA
0,1,1,NA
17,9,26,NA
843,1691,2534,women
631,580,1211,NA
1689,1420,3109,NA
328,420,748,women
194,149,343,men
1,1,2,NA
0,1,1,NA
3,5,8,NA
13,17,30,women
2,4,6,NA
5,17,22,NA
2,3,5,NA
4,4,8,NA
78,149,227,women
6,13,19,NA
116,112,228,NA
12,12,24,NA
20,49,69,women
1,0,1,NA
1,0,1,NA
1,2,3,NA
1,2,3,NA
1,2,3,NA
1,0,1,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
2,2,4,NA
1,0,1,NA
0,1,1,NA
141,262,403,women
1,0,1,NA
1,11,12,NA
1,1,2,NA
0,1,1,NA
0,1,1,NA
2,0,2,NA
0,1,1,NA
1,0,1,NA
6,6,12,NA
2,1,3,NA
0,1,1,NA
5,6,11,NA
239,218,457,NA
40,44,84,NA
103,90,193,NA
19,36,55,women
26,15,41,men
1,1,2,NA
65,13,78,men
6,14,20,NA
5,8,13,NA
4,12,16,NA
2,3,5,NA
25,56,81,women
18,0,18,NA
1,3,4,NA
52,129,181,women
12,19,31,women
40,50,90,women
0,2,2,NA
0,1,1,NA
6,4,10,NA
5,3,8,NA
1,0,1,NA
0,1,1,NA
0,1,1,NA
0,1,1,NA
1,0,1,NA
0,2,2,NA
2,3,5,NA
1,0,1,NA
0,1,1,NA
1,0,1,NA
21,16,37,men
0,2,2,NA
3,12,15,NA
3,4,7,NA
3,8,11,NA
1,0,1,NA
11,51,62,women
11,0,11,NA
0,1,1,NA
1,3,4,NA
11,63,74,women
0,1,1,NA
4,152,156,women
0,1,1,NA
1,0,1,NA
0,3,3,NA
2,0,2,NA
18,22,40,women
9,19,28,NA
5,6,11,NA
12,15,27,NA
71,93,164,women
10,9,19,NA
2,4,6,NA
1,0,1,NA
0,4,4,NA
4,6,10,NA
8,12,20,NA
0,1,1,NA
0,2,2,NA
13,12,25,NA
3,0,3,NA
12,22,34,women
2,6,8,NA
1,0,1,NA
1,0,1,NA
0,1,1,NA
0,1,1,NA
1,1,2,NA
1,2,3,NA
23,26,49,NA
10,32,42,women
19,58,77,women
26,72,98,women
8,20,28,NA
87,242,329,women
0,1,1,NA
1,1,2,NA
2,2,4,NA
1,3,4,NA
18,7,25,NA
10,14,24,NA
1,0,1,NA
2,0,2,NA
2,3,5,NA
1,1,2,NA
0,3,3,NA
3,2,5,NA
2,0,2,NA
1,0,1,NA
0,1,1,NA
1,1,2,NA
172,221,393,women
1,1,2,NA
3,8,11,NA
3,0,3,NA
0,3,3,NA
1,1,2,NA
0,11,11,NA
1,1,2,NA
25,92,117,women
1,2,3,NA
3,1,4,NA
0,1,1,NA
7,11,18,NA
1,0,1,NA
10,9,19,NA
10,26,36,women
0,1,1,NA
0,1,1,NA
24,39,63,women
0,5,5,NA
0,1,1,NA
0,1,1,NA
45,58,103,women
103,129,232,women
37,82,119,women
10,15,25,NA
91,201,292,women
3,8,11,NA
77,101,178,women
75,235,310,women
0,4,4,NA
3,4,7,NA
3,1,4,NA
14,52,66,women
0,1,1,NA
