Men,Women,Total,Tendency
3,1,4,NA
25,11,36,men
163,195,358,NA
0,2,2,NA
14,24,38,women
260,407,667,women
891,703,1594,men
34,78,112,women
49,272,321,women
28,27,55,NA
4,19,23,NA
1,0,1,NA
12,44,56,women
24,56,80,women
10,1,11,NA
2,0,2,NA
4,6,10,NA
42,58,100,women
23,27,50,NA
55,134,189,women
1,2,3,NA
0,6,6,NA
13,77,90,women
0,6,6,NA
0,3,3,NA
12,4,16,NA
0,1,1,NA
0,1,1,NA
1,0,1,NA
0,1,1,NA
1,0,1,NA
0,1,1,NA
29,22,51,men
3,1,4,NA
1,4,5,NA
0,3,3,NA
33,103,136,women
116,168,284,women
226,435,661,women
14,16,30,NA
3,6,9,NA
230,138,368,men
0,1,1,NA
1,1,2,NA
1,2,3,NA
46,201,247,women
0,3,3,NA
1,450,451,women
0,2,2,NA
0,109,109,women
33,188,221,women
56,122,178,women
55,44,99,men
22,17,39,men
104,54,158,men
21,18,39,NA
17,13,30,men
65,61,126,NA
1,1,2,NA
5,6,11,NA
0,4,4,NA
5,4,9,NA
29,167,196,women
8,32,40,women
28,86,114,women
7,23,30,women
4,21,25,NA
37,102,139,women
2,2,4,NA
5,8,13,NA
1,2,3,NA
137,212,349,women
5,3,8,NA
